Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
MASTERPACT 2000A 3-Pole Circuit Breaker NW20H1,SQUARE D,2000 amps,600 volts,,,Model  NW20H1   085250215301   Used   2000 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WN4FFR74A3SFFFXXEA,https://www.lenmark.com//collections/breakers/products/masterpact-2000a-3-pole-circuit-breaker-nw20h1
2000 Amp Molded Case Circuit Breaker RD320KL05T25Z03,CUTLER-HAMMER,2000 amps,600 volts,,,Model  RD320KL05T25Z03   Used   2000 amps   C   3   Bolt-On   600 volts,https://www.lenmark.com//collections/breakers/products/2000-amp-molded-case-circuit-breaker-rd320kl05t25z03
1200 Amp Power Vac Circuit Breaker VB1,GENERAL ELECTRIC,1200 amps,4160 volts,,,Model  VB1   Used   1200 amps   4160 volts  KV: 60,https://www.lenmark.com//collections/breakers/products/1200-amp-power-vac-circuit-breaker-vb1
1000 Amp PowerPact 3-Pole 600 Volt Circuit Breaker PGA36100U31E,SQUARE D,1000 amps,600 volts,,,Model  PGA36100U31E   Used   1000 amps   Powerpact   3   Plug-In   600 volts   3-phase   Connection: I-Line Style Plug-In  Protection: Solid State Type: PGA,https://www.lenmark.com//collections/breakers/products/1000-amp-powerpact-3-pole-600-volt-circuit-breaker-pga36100u31e
1600 Amp 3 Pole Circuit Breaker RD316T32,CUTLER-HAMMER,1600 amps,600 volts,,,Model  RD316T32   Used   1600 amps   RD   3   Bolt-On   600 volts   3-phase   Interrupting Capacity:  125kA at 240V 65kA at 480V 50kA at 600V,https://www.lenmark.com//collections/breakers/products/1600-amp-3-pole-circuit-breaker-rd316t32
1600 Amp Molded Case Industrial Circuit Breaker RD316T32W,EATON,1600 amps,600 volts,,,Model  RD316T32W   Used   1600 amps   C   3   Bolt-On   600 volts   3-phase   No   No   Trip Type: Electronic LSI  Frame: RES1600LSI  DigiTrip Unit w/ 16RES16T,https://www.lenmark.com//collections/breakers/products/1600-amp-molded-case-industrial-circuit-breaker-rd316t32w
1600 Amp 3 Pole Molded Case Switch Circuit Breaker RGK316WK,EATON,1600 amps,600 volts,,,Model  RGK316WK   UNITED STATES   Surplus New   1600 amps   RGH-K   3   600 volts   3-phase   PDF RG Circuit Breaker Nomenclature  Frame: RG,https://www.lenmark.com//collections/breakers/products/1600-amp-3-pole-molded-case-switch-circuit-breaker-rgk316wk
1200 Amp 3 Pole Circuit Breaker T7L 1200 - 1SDA065292R1,ABB,1200 amps,600 volts,,,"Model  T7L 1200 - 1SDA065292R1   ITALY   Surplus New   1200 amps   3   Bolt-On   600 volts   Interrupt Ratings:  150 kA @ 240 V 100 kA @ 480 V 65 kA @ 600 V  Rated ultimate short-circuit breaking capacity, Icu:  200 kA @ 230 V 120 kA @ 415 V 100 kA @ 440 V 85 kA @ 500 V 50 kA @ 690 V  Trip Unit: Electronic PR231/P  ** New open box",https://www.lenmark.com//collections/breakers/products/1200-amp-3-pole-circuit-breaker-t7l-1200-1sda065292r1
"Medium Voltage Circuit Breaker 1200A, 4.76kV, V5D3153YJ00",SQUARE D,1200 amps,,,,"Model  V5D3153YJ00   17-52169   Surplus New   1200 amps   Type: VR Rated Maximum Voltage: 4.76 kV  Voltage Range Factor ""K"": 1.24 Impulse Withstand (BIL): 60 kV  Frequency: 50/60 HZ Continuous Current: 1200 A  Short Circuit Current: 29 kA SYM MVA Class Reference: 250 MVA  Interrupting Time: Class 3 Closing Coil Voltage Range: 107-1247 VAC  Closing Coil Current: 6.9 A Tripping Coil Voltage Range: 70-140 VDC  Tripping Coil Current: 0.7 A",https://www.lenmark.com//collections/breakers/products/medium-voltage-circuit-breaker-1200a-4-76kv-v5d3153yj00-1
MASTERPACT 2000A 3-Pole Circuit Breaker NW20H1,SQUARE D,2000 amps,600 volts,,,Model  NW20H1   085250215401   Used   2000 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WN4FFR74A3SFFFXXEA,https://www.lenmark.com//collections/breakers/products/masterpact-2000a-3-pole-circuit-breaker-nw20h1-1
"Medium Voltage Circuit Breaker 1200A, 4.76kV, V5D3153YJ00",SQUARE D,1200 amps,,,,"Model  V5D3153YJ00   17-52170   Surplus New   1200 amps   Type: VR Rated Maximum Voltage: 4.76 kV  Voltage Range Factor ""K"": 1.24 Impulse Withstand (BIL): 60 kV  Frequency: 50/60 HZ Continuous Current: 1200 A  Short Circuit Current: 29 kA SYM MVA Class Reference: 250 MVA  Interrupting Time: Class 3 Closing Coil Voltage Range: 107-1247 VAC  Closing Coil Current: 6.9 A Tripping Coil Voltage Range: 70-140 VDC  Tripping Coil Current: 0.7 A",https://www.lenmark.com//collections/breakers/products/medium-voltage-circuit-breaker-1200a-4-76kv-v5d3153yj00
400 Amp 3 Pole Circuit Breaker LGM36500U31X,SIEMENS,400 amps,600 volts,,,Model  LGM36500U31X   Used   400 amps   LGM   3   Bolt-On   600 volts   3-phase,https://www.lenmark.com//collections/breakers/products/400-amp-3-pole-circuit-breaker-lgm36500u31x
MASTERPACT 1600A 3-Pole Circuit Breaker NW16H1,SQUARE D,1600 amps,600 volts,,,Model  NW16H1   234608840204   Used   1600 amps   MASTERPACT   3   600 volts   3-phase  Cat. No.: WA4EAR44A9SXXXXXXA,https://www.lenmark.com//collections/breakers/products/masterpact-1600a-3-pole-circuit-breaker-nw16h1-2
