Title,Manufacturer,Amps,Voltage,Max. Voltage,Bus Ratings,Electrical,Description,Link
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104731 - Full Voltage Non-Reversing MCC Bucket, Size 2  104732 - Full Voltage Non-Reversing MCC Bucket, Size 5  104733 - Full Voltage Non-Reversing MCC Bucket, Size 2  104734 - Full Voltage Non-Reversing MCC Bucket, Size 5  Segment 2 Buckets   104700 - Full Voltage Non-Reversing MCC Bucket, Size 3  104701 - Full Voltage Non-Reversing MCC Bucket, Size 3",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-7
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 28 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-28-buckets
SIEMENS Tiastar Motor Control Center (MCC) Section,SIEMENS,,,,,,"Model  TIASTAR   Used   Segment 1 Buckets   104721 - Full Voltage Non-Reversing MCC Bucket, Size 2  104722 - 9300 Series Power Meter MCC Bucket  104723 - Spare MCC Bucket w/ 3 x Current Transformer 8SHT-122, 600V, 1200:5, 10kV BIL, 50-400hz  104724 - Full Voltage Non-Reversing MCC Bucket, Size 2  104725 - Full Voltage Non-Reversing MCC Bucket, Size 2  104726 - Feeder Circuit Breaker MCC Bucket, 20a  104727 - Transformer MCC Bucket, 7.5kVA, Single-Phase Dry Type  104728 - Full Voltage Non-Reversing MCC Bucket, Size 1  104729 - Full Voltage Non-Reversing MCC Bucket, Size 1  104730 - Full Voltage Non-Reversing MCC Bucket, Size 1  Segment 2 Buckets   104737 - SIMOCODE Repeater MCC Bucket  104738 - Full Voltage Non-Reversing MCC Bucket, Size 3 (FOR PARTS ONLY)  104739 - Combination Motor Controller MCC Bucket w/ 10hp VFD  104740 - Combination Motor Controller MCC Bucket w/ 10hp VFD  104741 - Full Voltage Non-Reversing MCC Bucket, Size 5",https://www.lenmark.com//collections/mcc/products/siemens-tiastar-motor-control-center-mcc-section-6
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 26 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-26-buckets-1
"5kV CENTERLINE 1500 Vacuum Starter Section 1512B-TXE, 2-High, 600HP, 1200A",ALLEN-BRADLEY,1200 amps,5000 volts,,"5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:",,"Model  1512B-TXE   7011738-004-11   Surplus New   1200 amps   5000 volts   3-phase   600 hp   Yes   Structure Series: M NEMA Type: 1  Bus Ratings:  5000V Max., 1200A, 3-Ph, 60hz  Unit Ratings:  Top: 260A Bottom: 300A Total Structure: 560A",https://www.lenmark.com//collections/mcc/products/5kv-centerline-1500-vacuum-starter-section-1512b-txe-2-high-600hp-1200a-1
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 26 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-26-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 25 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-25-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V max., 1000A",WESTINGHOUSE,,,600,600 VAC- 1000 Amp- 60 Hz- 3 Phase,,Condition  Used   600  Bus Rating: 600 VAC- 1000 Amp- 60 Hz- 3 Phase,https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-2
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 23 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-23-buckets
"Five Star Double-Sided Motor Control Center (MCC), 600V Max., 1000A, 24 Buckets",WESTINGHOUSE,,,600,"600V Max., 3-Ph, 3-W 1000A, 60hz",,"Condition  Used   600  Bus Rating: 600V Max., 3-Ph, 3-W 1000A, 60hz",https://www.lenmark.com//collections/mcc/products/five-star-double-sided-motor-control-center-mcc-600v-max-1000a-24-buckets
