Title,Manufacturer,Amps,Voltage,Max. Voltage,Enclosure,Description,Link
6010-1009 Explosion Proof Limit Switch Box ALS30,FOSSIL POWER SYSTEMS,,,,,Model  6010-1009   Surplus New   Type: Mechanical (2SPDT) Electrical Ratings:  15A-250VAC  0.6A-125VDC  0.3A-250VDC  Max. Ambient Temp.: 85C  IP Rating: IP67,https://www.lenmark.com//collections/switches/products/6010-1009-explosion-proof-limit-switch-box-als30
60 Amp 600 Volts Power Switch N3603,LEVITON,60 amps,600 volts,,,Model  N3603   MEXICO   Surplus New   60 amps   600 volts   3-phase   Pole: 3 Enclosure: NEMA 3R  Starter Type: Manual Max HP Ratings: 30 HP @ 600 V AC  Operator: Toggle Housing Material: Steel  Connection: Back/Side Thread Mounting: Threaded,https://www.lenmark.com//collections/switches/products/60-amp-600-volts-power-switch-n3603
15 Amp Mechanical In-wall Timer Switch HMT01N-W (Box of 10 pcs),ENERLITES,15 amps,,,,Model  HMT01N-W   CHINA   Surplus New   15 amps   Single-phase   Watts: 1800W Motor Load: 1/2 HP  Voltage: 125 Volts Frequency: 60 Hz,https://www.lenmark.com//collections/switches/products/15-amp-mechanical-in-wall-timer-switch-hmt01n-w-box-of-10-pcs
Snap-Lock Switch 990-00115,NAMCO CONTROLS,20 amps,600 volts,,,Model  990-00115   UNITED STATES   Used   20 amps   600 volts  Contacts: 1NO/1NC,https://www.lenmark.com//collections/switches/products/snap-lock-switch-990-00115
Direct Operation Handle V1N 41997062,SOCOMEC,,,,,Model  41997062   2021   FRANCE   Surplus New,https://www.lenmark.com//collections/switches/products/direct-operation-handle-v1n-41997062
S/E Handle ATYS 2000/3200A 62A618,SOCOMEC,,,,,Model  62A618   2020   Surplus New,https://www.lenmark.com//collections/switches/products/s-e-handle-atys-2000-3200a-62a618
500 Amp Remote Battery Switch ML-RBS,BLUE SEA,500 amps,240 volts,,,Model  ML-RBS   Used   500 amps   240 volts   Single-phase   Control Circuit Voltage: 20.2 to 32.9 VDC Coil Function: Auto-Releasing  Continuous Rating: 500 Amp,https://www.lenmark.com//collections/switches/products/500-amp-remote-battery-switch-ml-rbs
"600 Amp, 3 Pole Non-Fusible Rotary Disconnect Switch R9F3600U/C362US600",EATON,600 amps,600 volts,,,Model  R9F3600U/C362US600   Surplus New   600 amps   600 volts   3-phase,https://www.lenmark.com//collections/switches/products/general-purpose-switch-600a-600vac-3ph-r9f3600u-c362us600
Explosion-proof Pushbutton Operator EFDC2438,CROUSE-HINDS,,,,,Model  EFDC2438   Surplus New,https://www.lenmark.com//collections/switches/products/explosion-proof-pushbutton-operator-efdc2438
Gas Pressure Switch HLGP-A,ANTUNES CONTROLS,,,,,"Model  HLGP-A   UNITED STATES   Used   High Pressure Gas Inlet: 3/8"" NPT Low Pressure Gas Inlet and Vent are: 1/8"" NPT  Ratings  Electrical Ratings:  10A, 1/8 HP @ 125 VAC; 5A, 1/4 HP @ 250 VAC; Pilot Duty, 125 VA @ 125-250 VAC  High 2-16""W.C.,  Low 1-6"" W.C.  Temperature rating: -40 Deg F to 140 Deg F (-40 Deg C to 60 Deg C) Max. surge pressure: 10 PSI",https://www.lenmark.com//collections/switches/products/gas-pressure-switch-hlgp-a
