Title,Manufacturer,kVA,Primary Voltage,Secondary Voltage,Phase,Oil vs Dry,Transformer Type,Enclosure,Description,Link
30 kVA Auto Transformer 480 primary volts 220 secondary volts AVR30SK24A,BEAVER,30 kVA,480 volts,220 volts,3-phase,Dry,,Nema 2,Model  AVR30SK24A   New   30 kVA   480 volts   220 volts   3-phase   Auto   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-auto-transformer-480-primary-volts-220-secondary-volts-avr30sk24a
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",HAMMOND,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Distribution Transformer,,Condition  Used   300 kVA   600 volts   208Y/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Part Number: 171639?  Type: J  Cooling: AN  Temp. Rise: 130 o C  Temp. Class: 220 o C  Angular Displacement: 0 o,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage-4
"37.5 kVA Transformer, 240/480 Primary Voltage, 120/240 Secondary Voltage",BEMAG,37.5 kVA,240/480 volts,120/240 volts,Single-phase,Dry,,Nema 3R,Model  UA1037P480   CANADA   Very Good   37.5 kVA   240/480 volts   120/240 volts   Single-phase   Isolation   Dry   Nema 3R,https://www.lenmark.com//collections/dry-type-transformer/products/37-5-kva-transformer-240-480-primary-voltage-120-240-secondary-voltage
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",MIRUS,300 kVA,600 Delta volts,208Y/120 volts,3-phase,Dry,Zig-Zag Transformer,,Model  Harmony 1   G09DB390   CANADA   Used   300 kVA   600 Delta volts   208Y/120 volts   3-phase   Zig-Zag Transformer   Isolation   Dry   Order number: H1ET-00-600-208-300-S-150  Connection: Delta - Zigzag  Angular Displacement: 0 o  Type: J  Cooling: AN  Temp. Rise: 150 o C  Temp. Class: 220 o C  Impedance: 4.28 %  Zo %: 1.0 max,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage-3
30 kVA Transformer Pri. 600V Sec. 600Y/347V EE30T2305HCU,SQUARE D,30 kVA,600 volts,600Y/347 volts,3-phase,Dry,,Nema 2,Model  EE30T2305HCU   0065000845   UNITED STATES   Surplus New   30 kVA   600 volts   600Y/347 volts   3-phase   Isolation   Dry   Nema 2   Type: SO Style No.: 33360-59212-003  High Amperes: 28.9 Amps Low Amperes: 28.9 Amps  Frequency: 60 Hz Class: AA  WT: 319,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-transformer-pri-600v-sec-600y-347v-ee30t2305hcu
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",HAMMOND,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Distribution Transformer,,Condition  Used   300 kVA   600 volts   208Y/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Part Number: 171639?  Type: J  Cooling: AN  Temp. Rise: 130 o C  Temp. Class: 220 o C  Impedance @ 150 o C: 4.5%  Zo %: 0.95 max.  Angular Displacement: 0 o  Winding: CU,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage-1
300 kVA Isolation Transformer 600 volts Primary 208/120 volts Secondary,MIRUS,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Zig-Zag Transformer,,Model  Harmony 1   2009   G09DB387   CANADA   Used   300 kVA   600 volts   208Y/120 volts   3-phase   Zig-Zag Transformer   Isolation   Dry   Order number: H1ET-00-600-208-300-S-150  Connection: Delta - Zigzag  Angular Displacement: 0 o  Type: J  Cooling: AN  Temp. Rise: 150 o C  Temp. Class: 220 o C  Impedance: 4.33 %  Zo %: 1.0 max,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-volts-primary-208-120-volts-secondary-1
300 kVA Isolation Transformer 600 volts Primary 208/120 volts Secondary,HAMMOND,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Distribution Transformer,,Condition  Good   300 kVA   600 volts   208Y/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Part Number: 171639?  Type: J  Cooling: AN  Temp. Rise: 130 o C  Temp. Class: 220 o C  Impedance @ 150 o C: 4.5%  Zo %: 0.95 max.  Angular Displacement: 0 o,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-volts-primary-208-120-volts-secondary
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",MIRUS,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Zig-Zag Transformer,,Model  Harmony 1   2006   DB06K   CANADA   Used   300 kVA   600 volts   208Y/120 volts   3-phase   Zig-Zag Transformer   Isolation   Dry   Order number: H1ET-00-600-208-300-S-150  Connection: Delta - Zigzag  Angular Displacement: 0 o  Type: J  Cooling: AN  Temp. Rise: 150 o C  Temp. Class: 220 o C  Impedance: 4.1 %  Zo %: 1.0 max,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage
"30 kVA Transformer, 600 Delta Primary Voltage, 400Y/231 Secondary Voltage",BEAVER,30 kVA,600 Delta volts,400Y/231 volts,3-phase,Dry,,Nema 2,Model  TVR30T-Q34A   D54435   CANADA   Very Good   30 kVA   600 Delta volts   400Y/231 volts   3-phase   Isolation   Dry   Nema 2   Secondary Voltage: 400Y/231 V  Type: ANN  % Imp. @ 170 o C: 4.5  Insulation Class: 220 o C  Temp. Rise: 150 o C  BIL: 10 kV,https://www.lenmark.com//collections/dry-type-transformer/products/30-kva-transformer-600-delta-primary-voltage-400y-231-secondary-voltage
"15 kVA Transforme, 600Y Primary Voltage, 208Y Secondary Voltage RC15J-B",REX POWER MAGNETICS,15 kVA,600Y volts,208Y volts,3-phase,Dry,,Nema 2,Model  RC15J-B   J50334   CANADA   New   15 kVA   600Y volts   208Y volts   3-phase   Auto   Dry   Nema 2,https://www.lenmark.com//collections/dry-type-transformer/products/15-kva-transforme-600y-primary-voltage-208y-secondary-voltage-rc15j-b
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",MIRUS,300 kVA,600 Delta volts,208Y/120 volts,3-phase,Dry,Zig-Zag Transformer,,Model  Harmony 1   2006   DB06K   CANADA   Good   300 kVA   600 Delta volts   208Y/120 volts   3-phase   Zig-Zag Transformer   Isolation   Dry   Order number: H1ET-00-600-208-300-S-150  Connection: Delta - Y/Zigzag  Angular Displacement: 0 o  Type: J  Cooling: AN  Temp. Rise: 150 o C  Temp. Class: 220 o C  Impedance: 4.1 %  Zo %: 1.0 max,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage-6
"300 kVA Isolation Transformer, 600 Primary Voltage, 208/120 Secondary Voltage",HAMMOND,300 kVA,600 volts,208Y/120 volts,3-phase,Dry,Distribution Transformer,,Condition  Good   300 kVA   600 volts   208Y/120 volts   3-phase   Distribution Transformer   Isolation   Dry   Part Number: 171639  Type: J  Cooling: AN  Temp. Rise: 130 o C  Temp. Class: 220 o C  Impedance @ 150 o C: 4.5%  Zo %: 0.95 max.  Angular Displacement: 0 o,https://www.lenmark.com//collections/dry-type-transformer/products/300-kva-auto-transformer-600-primary-voltage-208-120-secondary-voltage-5
"75 kVA Transformer, Pri. 480Y V, Sec. 240 V, K757M",HAMMOND,75 kVA,480Y volts,240 volts,3-phase,Dry,Distribution Transformer,,Model  K757M   CANADA   Used   75 kVA   480Y volts   240 volts   3-phase   Distribution Transformer   Dry,https://www.lenmark.com//collections/dry-type-transformer/products/75-kva-transformer-pri-480y-v-240-v
